	tax1	tax2	tax3	spname	nucleotides	orfs	enzymes	rnas
wse	Eukaryotes	Fungi	Basidiomycetes	Wallemia mellicola		5277	729	
wic	Eukaryotes	Fungi	Basidiomycetes	Wallemia ichthyophaga		4863	692	2
uma	Eukaryotes	Fungi	Basidiomycetes	Ustilago maydis		6781	774	58
pfp	Eukaryotes	Fungi	Basidiomycetes	Anthracocystis flocculosa		6877	793	
mgl	Eukaryotes	Fungi	Basidiomycetes	Malassezia globosa		4286	638	
pgr	Eukaryotes	Fungi	Basidiomycetes	Puccinia graminis		15800	740	
mlr	Eukaryotes	Fungi	Basidiomycetes	Melampsora larici-populina		16372	792	
ecu	Eukaryotes	Fungi	Microsporidians	Encephalitozoon cuniculi	2497519	1996	203	33
ein	Eukaryotes	Fungi	Microsporidians	Encephalitozoon intestinalis	2216898	1939	206	72
ehe	Eukaryotes	Fungi	Microsporidians	Encephalitozoon hellem	2251784	1847	217	65
ero	Eukaryotes	Fungi	Microsporidians	Encephalitozoon romaleae		1831	216	5
nce	Eukaryotes	Fungi	Microsporidians	Nosema ceranae		2060	200	
mbr	Eukaryotes	Protists	Choanoflagellates	Monosiga brevicollis		9171	690	
sre	Eukaryotes	Protists	Choanoflagellates	Salpingoeca rosetta		11624	829	48
ddi	Eukaryotes	Protists	Amoebozoa	Dictyostelium discoideum (cellular slime mold)		13289	728	21
dpp	Eukaryotes	Protists	Amoebozoa	Dictyostelium purpureum (cellular slime mold)		12399	729	
dfa	Eukaryotes	Protists	Amoebozoa	Dictyostelium fasciculatum (cellular slime mold)		12213	735	19
ehi	Eukaryotes	Protists	Amoebozoa	Entamoeba histolytica		8162	325	
edi	Eukaryotes	Protists	Amoebozoa	Entamoeba dispar		8811	314	
eiv	Eukaryotes	Protists	Amoebozoa	Entamoeba invadens		11997	330	
acan	Eukaryotes	Protists	Amoebozoa	Acanthamoeba castellanii		14973	784	
pfa	Eukaryotes	Protists	Alveolates	Plasmodium falciparum 3D7	23270305	5331	365	72
pfd	Eukaryotes	Protists	Alveolates	Plasmodium falciparum Dd2		4955	286	
pfh	Eukaryotes	Protists	Alveolates	Plasmodium falciparum HB3		5367	352	
pyo	Eukaryotes	Protists	Alveolates	Plasmodium yoelii		7353	342	
pcb	Eukaryotes	Protists	Alveolates	Plasmodium chabaudi		5154	353	65
pbe	Eukaryotes	Protists	Alveolates	Plasmodium berghei		9821	352	
pkn	Eukaryotes	Protists	Alveolates	Plasmodium knowlesi	23462187	5102	362	52
pvx	Eukaryotes	Protists	Alveolates	Plasmodium vivax		5392	362	
pcy	Eukaryotes	Protists	Alveolates	Plasmodium cynomolgi		5716	355	
tan	Eukaryotes	Protists	Alveolates	Theileria annulata		3795	274	
tpv	Eukaryotes	Protists	Alveolates	Theileria parva		4061	269	26
tot	Eukaryotes	Protists	Alveolates	Theileria orientalis	8983596	3995	278	56
beq	Eukaryotes	Protists	Alveolates	Theileria equi		5329	295	
bbo	Eukaryotes	Protists	Alveolates	Babesia bovis		3706	276	29
cpv	Eukaryotes	Protists	Alveolates	Cryptosporidium parvum		3805	242	
cho	Eukaryotes	Protists	Alveolates	Cryptosporidium hominis		3885	229	
tgo	Eukaryotes	Protists	Alveolates	Toxoplasma gondii	62474065	8168	325	150
tet	Eukaryotes	Protists	Alveolates	Tetrahymena thermophila		27041	576	14
ptm	Eukaryotes	Protists	Alveolates	Paramecium tetraurelia		40043	548	1
smin	Eukaryotes	Protists	Alveolates	Symbiodinium minutum		47014	739	
pti	Eukaryotes	Protists	Stramenopiles	Phaeodactylum tricornutum		10392	722	
fcy	Eukaryotes	Protists	Stramenopiles	Fragilariopsis cylindrus		18082	826	163
tps	Eukaryotes	Protists	Stramenopiles	Thalassiosira pseudonana		11672	728	
aaf	Eukaryotes	Protists	Stramenopiles	Aureococcus anophagefferens		11625	745	32
ngd	Eukaryotes	Protists	Stramenopiles	Nannochloropsis gaditana		3554	298	
pif	Eukaryotes	Protists	Stramenopiles	Phytophthora infestans		17797	797	
psoj	Eukaryotes	Protists	Stramenopiles	Phytophthora sojae		26536	792	27
spar	Eukaryotes	Protists	Stramenopiles	Saprolegnia parasitica		20088	824	23
ehx	Eukaryotes	Protists	Haptophyta	Emiliania huxleyi		38544	848	
gtt	Eukaryotes	Protists	Cryptomonads	Guillardia theta		24798	852	
tbr	Eukaryotes	Protists	Euglenozoa	Trypanosoma brucei		8712	446	
tcr	Eukaryotes	Protists	Euglenozoa	Trypanosoma cruzi		19602	485	
lma	Eukaryotes	Protists	Euglenozoa	Leishmania major	32855089	8316	494	1275
lif	Eukaryotes	Protists	Euglenozoa	Leishmania infantum	31924853	8109	499	122
ldo	Eukaryotes	Protists	Euglenozoa	Leishmania donovani	32444968	8032	493	112
lmi	Eukaryotes	Protists	Euglenozoa	Leishmania mexicana		8147	495	
lbz	Eukaryotes	Protists	Euglenozoa	Leishmania braziliensis	31238104	7987	489	97
ngr	Eukaryotes	Protists	Heterolobosea	Naegleria gruberi		15709	661	
tva	Eukaryotes	Protists	Parabasalids	Trichomonas vaginalis		59679	339	
gla	Eukaryotes	Protists	Diplomonads	Giardia lamblia		6502	213	
eco	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli K-12 MG1655	4641652	4140	993	178
ecj	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli K-12 W3110	4646332	4226	993	157
ecd	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli K-12 DH10B	4686137	4126	961	157
ebw	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli BW2952	4578159	4084	979	171
ecok	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli K-12 MDS42	3976195	3547	950	150
ece	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O157:H7 EDL933 (EHEC)	5620522	5449	982	129
ecs	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O157:H7 Sakai (EHEC)	5594477	5288	979	141
ecf	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O157:H7 EC4115 (EHEC)	5704171	5477	970	188
etw	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O157:H7 TW14359 (EHEC)	5622737	5373	975	128
elx	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O157:H7 Xuzhou21 (EHEC)	5516736	5183	976	115
eoj	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O26:H11 11368 (EHEC)	5855531	5519	995	194
eoi	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O111:H- 11128 (EHEC)	5766081	5407	994	203
eoh	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O103:H2 12009 (EHEC)	5524860	5121	990	191
ecg	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O127:H6 E2348/69 (EPEC)	5069678	4653	965	191
eok	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O55:H7 CB9615 (EPEC)	5452353	5121	981	174
elr	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O55:H7 RM12579 (EPEC)	5448306	5128	983	127
ecc	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O6:K2:H1 CFT073 (UPEC)	5231428	5379	964	116
ecp	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O6:K15:H31 536 (UPEC)	4938920	4629	965	103
eci	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O18:K1:H7 UTI89 (UPEC)	5179971	5211	972	110
ecv	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli APEC O1 (APEC)	5497653	4890	975	93
ecx	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O9 HS (commensal)	4643538	4384	987	158
ecw	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli E24377A (ETEC)	5249288	4997	990	113
ecm	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli SMS-3-5 (environmental)	5215377	4913	998	112
ecy	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O152:H28 SE11 (commensal)	5155626	5002	998	107
ecr	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O8 IAI1 (commensal)	4700560	4354	998	197
ecq	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O81 ED1a (commensal)	5209548	4915	980	203
eck	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli 55989 (EAEC)	5154862	4763	987	226
ect	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O7:K1 IAI39 (ExPEC)	5132068	4725	989	207
eoc	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O7:K1 CE10	5378729	5080	998	113
eum	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O17:K52:H18 UMN026 (ExPEC)	5358200	5017	1002	194
ecz	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O45:K1:H7 S88 (ExPEC)	5166121	4832	968	205
elo	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O44:H18 042 (EAEC)	5355323	4918	976	115
eln	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O83:H1 NRG 857C	4894879	4578	980	106
elh	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O78:H11:K80 H10407 (ETEC)	5325888	4873	987	110
ese	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O150:H5 SE15 (commensal)	4839683	4488	981	106
eso	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O104:H4 2009EL-2071	5389708	5126	992	121
esm	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O104:H4 2009EL-2050	5438174	5183	998	121
esl	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O104:H4 2011C-3493	5437407	5138	994	116
ecl	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli ATCC 8739	4746218	4200	992	128
ebr	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli B REL606	4629812	4209	988	107
ebd	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli BL21-Gold(DE3)pLysS AG	4570938	4228	981	112
eko	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli KO11FL	5029323	4653	995	112
ekf	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli KO11FL	5027172	4709	989	107
eab	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli ABU 83972	5132961	4796	973	110
edh	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli DH1	4630707	4160	991	114
edj	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli DH1	4621430	4260	987	150
eih	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli IHE3034	5108383	4757	969	118
ena	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli NA114 (UPEC)	4971461	4873	975	102
elu	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli UM146	5107563	4783	969	108
eun	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli UMNK88	5666764	5608	1001	118
elw	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli W	5008864	4606	992	180
ell	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli W	5005347	4731	994	109
elc	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli clone D i14	5038386	4919	968	110
eld	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli clone D i2	5038386	4919	968	110
elp	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli P12b	4935294	4393	974	105
ebl	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli BL21(DE3)	4558953	4196	983	173
ebe	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli BL21(DE3)	4558947	4206	980	107
elf	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli LF82	4773108	4376	971	158
ecoa	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli APEC O78	4798435	4589	1000	107
ecol	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli LY180	4835601	4463	982	106
ecoi	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli PMV-1	5083804	4707	965	268
ecoj	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli JJ1886	5308284	5049	983	110
ecoo	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O145:H28 RM13514 (EHEC)	5737294	5776	998	129
ecoh	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O145:H28 RM13516 (EHEC)	5559008	5513	995	123
ecos	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli O25b:K100:H4-ST131 EC958 (UPEC)	5249449	5100	988	116
efe	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia fergusonii	4643861	4324	956	177
eal	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia albertii	4701875	4422	925	107
sty	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Typhi CT18	5133713	4473	958	111
stt	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Typhi Ty2	4791961	4322	956	109
sex	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Typhi P-stx-12	4949783	4924	966	98
sent	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Typhi Ty21a	4791958	4509	964	100
stm	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Typhimurium LT2	4951371	4553	991	119
seo	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Typhimurium 14028S	4964097	5413	991	117
sev	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Typhimurium D23580	4879400	4446	993	109
sey	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Typhimurium SL1344	5067450	4672	997	222
sem	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Typhimurium T000240	5069994	4871	1008	106
sej	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Typhimurium UK-1	4911145	4555	995	107
seb	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Typhimurium ST4/74	5067451	4842	997	106
sef	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Typhimurium 798	4970096	4430	991	104
setu	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Typhimurium U288	5017059	4798	998	107
setc	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- CFSAN001921	5089224	4801	1001	106
senr	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Typhimurium DT2	4814801	4376	993	88
send	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Typhimurium DT104	5027665	4597	986	109
seni	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Typhimurium 138736	5025357	4548	982	113
seen	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. 08-1736	4822189	4489	993	110
spt	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150	4585229	4093	961	140
sek	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601	4581797	4079	962	99
spq	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Paratyphi B	4858887	5601	992	152
sei	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Paratyphi C	4888494	4640	958	104
sec	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Choleraesuis	4944000	4666	961	107
seh	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Heidelberg SL476	4983515	4779	978	155
shb	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Heidelberg B182	4788046	4332	979	236
senh	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica Serovar Heidelberg CFSAN002069	4931985	4609	989	109
seeh	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Heidelberg 41578	4951478	4712	985	107
see	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Newport SL254	5007719	4805	977	155
senn	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1	4915960	4828	984	109
sew	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Schwarzengrund	4823887	4627	966	148
sea	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Agona SL483	4836638	4614	978	162
sens	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Agona 24249	4762840	4342	985	110
sed	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Dublin	4917459	4617	962	152
seg	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Gallinarum 287/91	4658697	3956	956	75
sel	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum RKS5078	4637962	4325	959	94
sega	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum CDC1983-67	4623089	4331	962	98
set	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Enteritidis P125109	4685848	4200	985	106
sena	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Enteritidis EC20090135	4771194	4368	986	107
seno	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Enteritidis EC20090193	4774402	4371	984	107
senv	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Enteritidis EC20090332	4785193	4381	985	110
senq	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Enteritidis EC20090531	4734890	4402	986	104
senl	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Enteritidis OLF-SE1-1019-1	4678914	4367	986	112
senj	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Javiana	4675267	4407	970	105
seec	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica Serovar Cubana	5267011	4979	984	107
seeb	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Bareilly	4808805	4441	987	107
seep	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Pullorum	4682599	4052	914	100
senb	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Bovismorbificans	4773329	4733	992	81
sene	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Thompson	4707648	4357	989	101
senc	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. enterica serovar Tennessee	4864410	4405	981	113
ses	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella enterica subsp. arizonae	4600800	4510	953	142
sbg	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella bongori NCTC 12419	4460105	3864	920	107
sbz	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella bongori N268-08	4773537	4770	925	107
sbv	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Salmonella bongori serovar 48:z41:--	4394500	3940	901	104
sfl	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Shigella flexneri 301 (serotype 2a)	4828820	4313	892	129
sfx	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Shigella flexneri 2457T (serotype 2a)	4599354	4068	899	131
sfv	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Shigella flexneri 8401 (serotype 5b)	4574284	4116	905	119
sfe	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Shigella flexneri 2002017 (serotype Fxv)	4894492	4706	913	123
sfn	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Shigella flexneri 2003036	4595814	4891	947	117
sfs	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Shigella flexneri Shi06HN006 (serotype Yv)	4620903	4941	949	117
sft	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Shigella flexneri NCTC1	4526576	4564	940	98
ssn	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Shigella sonnei Ss046	5055316	4475	943	119
sbo	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Shigella boydii Sb227	4646520	4284	903	113
sbc	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Shigella boydii CDC 3083-94	4874659	4557	888	174
sdy	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Shigella dysenteriae Sd197	4560911	4294	832	107
sdz	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Shigella dysenteriae 1617	4480198	6409	890	94
shq	Prokaryotes	Bacteria	Gammaproteobacteria - Enterobacteria	Shigella sp. PAMC 28760	4558287	4287	982	119
